Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.2847078,6.4332166,0.8926464,0.0,0.0,0.0,0.0
0.19695687,0.74025,0.8926464,0.0,0.0,0.0,0.0
0.19027811,0.18634479,0.8926464,0.0,0.0,0.0,0.0
0.18442999,0.17856573,0.9186186,0.624988690853162,0.6048721235245023,0.6147658860184859,0.44379926816232745
0.17912225,0.17571196,0.9193479,0.6289749338980218,0.6064808259806844,0.6175231033267748,0.4466787870472009
0.17718184,0.18111265,0.9204879,0.6336183769121421,0.6149043907237391,0.6241211327595948,0.45361633761509246
0.17559852,0.17438282,0.921646,0.6365429852663378,0.6296565741623942,0.6330810533384407,0.46314454480612866
0.174511,0.17276254,0.9225418,0.6730194043049684,0.5416148131036127,0.6002091389380366,0.42878486753562806
0.18306601,0.252509,0.9208168,0.6316049124328204,0.6296798616907118,0.6306409179960817,0.4605372880524534
0.18694934,0.20502047,0.9138842,0.5734960472748968,0.7718437015619412,0.6580483663587682,0.4903666792917337
0.17843176,0.17252022,0.9191394,0.6040289064733286,0.7164538497078813,0.6554554890655014,0.4874925922756846
0.17761593,0.16878745,0.9230863,0.6476479564466201,0.6218822657088351,0.6345036478972497,0.4646688707151557
0.17502272,0.17611295,0.9233088,0.6670050805657467,0.5703730475736258,0.614915864274151,0.44395560414956775
0.17567226,0.17189312,0.9236441,0.6639817511799627,0.5845793713485156,0.6217557597911124,0.45112160940130513
0.17340258,0.16740958,0.9235101,0.6684304448191746,0.5704755126982234,0.61558054248999,0.44464886646216395
0.17458494,0.16526711,0.9235713,0.6596221085980979,0.5952012787647549,0.6257580572580814,0.45534780870503405
0.17017256,0.16764462,0.9230582,0.6912100155172111,0.5120294056277572,0.588278354564631,0.41670987794708514
0.17254826,0.16416568,0.9236209,0.649535142170508,0.6266385104924288,0.6378814249187736,0.4683009516118927
0.1724371,0.16431691,0.9237572,0.6712715941997072,0.5679073640753547,0.6152784940300722,0.4443337460835495
0.17109059,0.17779794,0.9232254,0.6397608357038911,0.6519418072612376,0.6457938871849384,0.4768800561994891
0.17082678,0.163888,0.9235676,0.6457043391066202,0.6382207955764875,0.6419407578830991,0.4726898046674766
0.17305033,0.1637006,0.9241014,0.6723048033901128,0.5716259165971146,0.6178910823497665,0.4470639574486376
0.17584781,0.1983268,0.9228919,0.6584391759727517,0.5854195853702158,0.6197861065404219,0.449050766317745
0.16969152,0.1707144,0.9238224,0.6593516347138765,0.6008061210802432,0.6287188985012794,0.45849016501002654
0.17173421,0.2886237,0.9215964,0.6499757552147011,0.584356742577799,0.6154220451152013,0.4444834925646396
0.17369005,0.1648453,0.9233551,0.6414186861090669,0.6487085668296173,0.6450430306867172,0.4760616353843598
0.17555797,0.16383193,0.9237675,0.6557729559276222,0.6101965839990462,0.6321643688349262,0.4621639869817334
0.1677081,0.16709076,0.923837,0.6905747070252832,0.5264080571121974,0.5974186332435806,0.42594222866738823
0.17156085,0.2093945,0.924215,0.6621963500349377,0.6002807544413974,0.6297202906538147,0.45955602083189223
0.17233795,0.16332325,0.9239242,0.6811764787658743,0.5477058990103731,0.6071929786515565,0.4359491080564082
0.1737812,0.16243453,0.92436,0.6623181996855346,0.6026961368785024,0.6311021287221426,0.46102937404162414
0.17028004,0.1622211,0.9248642,0.6679599037422895,0.5967522281507094,0.63035144650177,0.4602286074714456
0.17161983,0.1654593,0.9243062,0.6633558434911109,0.5987884896268034,0.6294206346875031,0.4592369114969077
0.16867901,0.16332243,0.9246062,0.6672765985064346,0.5937835340407774,0.6283885226686856,0.4581388629754791
0.17140101,0.16847685,0.9238932,0.6436684684154481,0.6520181903541195,0.6478164255589315,0.4790891102391253
0.16952258,0.16266726,0.9244996,0.6566043524261649,0.6220229223798737,0.6388459970954762,0.46934145271751965
0.17131446,0.16530393,0.923519,0.7068482650865245,0.49136125849529033,0.5797280797099458,0.4081810471839443
0.16975743,0.17675294,0.9245903,0.6777277658775419,0.567337285382139,0.6176387820572952,0.44679984799956574
0.16949968,0.20582467,0.9249999,0.6619824507120949,0.6158191248360558,0.6380669131347273,0.46850092657881587
0.16914175,0.16130163,0.9245818,0.6542102467526196,0.6310007302968881,0.6423959191763245,0.4731835505286452
0.17079979,0.16052642,0.9250695,0.6706638832480095,0.5934323581137475,0.6296888428508381,0.4595225249138762
0.16851805,0.16271783,0.9251953,0.6686578115300552,0.6010175718373674,0.6330359705171759,0.46309628992701296
0.17121851,0.17603606,0.9213966,0.6152800544037877,0.7146821345534756,0.6612664123545362,0.4939492207090714
0.17089361,0.17474158,0.9242013,0.6654398233345602,0.5911380708238941,0.6260922068485495,0.4557017654091821
0.16855033,0.16008908,0.92488,0.6526452074852676,0.641883458030285,0.6472196001634286,0.478436559430946
0.16890766,0.16953693,0.925304,0.688787968478301,0.554943662811494,0.6146639813790712,0.4436930629948939
0.17109814,0.16090891,0.9253624,0.6662743089014389,0.6105784994634553,0.6372116897029745,0.46757936275817596
0.17033628,0.16539079,0.9249188,0.6528529802930467,0.6419868546560152,0.6473743239257488,0.4786056744129199
0.16869399,0.16066639,0.925439,0.6652572951355012,0.6148345281387863,0.6390528362243575,0.4695647657999071
0.16896826,0.16538338,0.9249817,0.7011099349314174,0.5250285039346608,0.6004260017672841,0.4290062565648262
0.16930705,0.20852299,0.9243302,0.6443574313290955,0.6586858754620246,0.6514428746204416,0.48306657712930745
0.16888624,0.16884057,0.9254716,0.6648066514705735,0.6167105714200548,0.6398560746417088,0.4704326231307888
0.169655,0.16161738,0.9257391,0.6724521222543578,0.6010054623226422,0.6347245538759997,0.46490585887117114
0.16850382,0.18095742,0.9255347,0.6690969069451057,0.6061054310242041,0.6360453664580488,0.46632442957897385
0.16809443,0.17042226,0.9252923,0.705448046267802,0.5220896178609753,0.6000746236297811,0.42864757919145524
0.1700198,0.16200595,0.9243986,0.6373438713841054,0.6862648294980327,0.660900284102887,0.4935407544763201
0.16511394,0.18183003,0.9247271,0.7198130259672453,0.48928680547275544,0.582573922938584,0.41100832866456544
0.16809708,0.16129668,0.9248022,0.6466482663509547,0.6603951800405389,0.6534494311703705,0.48527656242299455
0.16796347,0.18913719,0.9258798,0.6759065964312029,0.5947476377131274,0.6327352331421369,0.4627744738835314
0.16728318,0.16528536,0.9218054,0.6140545352705016,0.7311734306068917,0.667515651654798,0.5009557166534664
0.16975038,0.16300805,0.9233179,0.6279372616674995,0.7011446285918683,0.662524771930998,0.49535479837449203
0.16941133,0.15919733,0.9266771,0.6839634524088823,0.5892853150709432,0.6331042744263478,0.46316940098751835
0.1665975,0.1687551,0.9253797,0.6964960830807095,0.5403908206152379,0.6085925702125562,0.4373935032857535
0.16568413,0.2093867,0.924148,0.6399896901718897,0.6707534726362228,0.6550105609011969,0.4870005234688536
0.16561614,0.25328094,0.9251207,0.6552239048532236,0.6384462188506022,0.6467262664401441,0.47789759780447194
0.16586597,0.17653033,0.9265386,0.6754280082734119,0.6077616400381542,0.639810700742625,0.4703835716778125
0.16973755,0.1604359,0.9260803,0.6641351337817764,0.6300794756766425,0.6466592384500554,0.4778244007883527
0.16568615,0.16428162,0.9225806,0.7673355219679135,0.40017474961249555,0.5260224391115944,0.3568727591718198
0.16636266,0.16212583,0.9266782,0.6762140677976634,0.608249746631692,0.6404338227144913,0.47105748393445085
0.16674936,0.17689203,0.9264585,0.6672205720457802,0.6283552670800048,0.6472049695400278,0.47842056998092874
0.16714819,0.25019598,0.9258379,0.66200980703205,0.6316891096339573,0.6464941420075189,0.4776441403559188
0.16729236,0.16183914,0.9260501,0.6609067778566701,0.639019092047216,0.6497786664481826,0.4812386312538188
0.17422302,0.17033447,0.9253704,0.6677850972542392,0.6066009896268034,0.6357242989741847,0.46597934603407215
0.16712223,0.17801075,0.9251529,0.7097012258295089,0.5123871020627161,0.5951153384474654,0.42360441019393363
0.1712703,0.18111797,0.9246753,0.6680313893205381,0.5930644151663288,0.628319662646631,0.458065662630232
0.1715375,0.15831596,0.926486,0.7192160988401621,0.5170893197806129,0.6016295936637028,0.4302362170549365
0.16861229,0.19419302,0.9250743,0.6409527510386321,0.6867911276380112,0.6630806885545633,0.49597659550422724
0.16716817,0.16671465,0.9253782,0.6436285608972672,0.683152684213664,0.662801921015673,0.4956647271876924
0.1645276,0.16409056,0.9273649,0.7039963147460688,0.5580362465720758,0.622575792610529,0.4519855170764352
0.1692087,0.15890117,0.9271947,0.6665169306166201,0.6440696911887445,0.6551010769253361,0.4871006033878484
0.16619287,0.1703213,0.9262335,0.6514095967441647,0.6730179518898295,0.6620375015519889,0.494810207550607
0.16671365,0.15611961,0.9279776,0.6732733575145999,0.639398213008227,0.655898689859526,0.4879830745726877
0.16464165,0.2325703,0.9260709,0.7276187959755986,0.49763864462859186,0.5910451460013707,0.41949189807180703
0.16746975,0.1840731,0.9241855,0.6319675101279795,0.7034454363896506,0.6657935466408756,0.4990183827732289
0.16666044,0.15892012,0.9267464,0.6571486506414983,0.66414167759628,0.6606266585622582,0.4932356335038837
0.16399902,0.18087879,0.9251038,0.6349400495568157,0.7113101004530822,0.6709589156645562,0.5048443750706575
0.16464978,0.21733746,0.9276923,0.6767896688274018,0.6248667953380231,0.6497926344171169,0.4812539547483525
0.16605525,0.16235553,0.9279048,0.6702988431131616,0.6463574579706689,0.6581104817691044,0.49043566763733004
0.16606185,0.1568608,0.9281887,0.6815518666349286,0.6214370081674019,0.6501077040688799,0.4815996846774007
0.16549776,0.16161011,0.9285105,0.6896265112604968,0.6074747376892811,0.6459490874297429,0.4770493350236021
0.16516219,0.15441392,0.929005,0.6900022366360993,0.6149677328007631,0.6503277792280073,0.4818412716948633
0.1657427,0.16176854,0.9281348,0.7251104987795657,0.5324125134136163,0.6139973573676804,0.44299869169193373
0.16690595,0.17580767,0.9254991,0.6360771578986609,0.7152354462263026,0.6733378027782175,0.50754276724571
0.17049357,0.15944992,0.928138,0.6961208611467221,0.5867320704661977,0.6367626780753507,0.467095983827933
0.16957872,0.1779241,0.928414,0.6795035993463764,0.6306113628234172,0.6541451753479033,0.48604438113672455
0.16598581,0.16103102,0.9283322,0.7128294802031571,0.556676254918326,0.6251491969776694,0.45470329988054387
0.1656645,0.16824333,0.9288517,0.701130945965915,0.587821926791463,0.6394960627367843,0.47004352227248386
0.16374385,0.15486956,0.9293629,0.6939570697012502,0.6118453410039346,0.6503195222685412,0.48183220621342726
0.16563399,0.1917713,0.9288582,0.7057942319102166,0.5784268063669965,0.6357944486935724,0.4660547291313289
0.16467361,0.19026156,0.9252379,0.7261241509460143,0.4874405702277334,0.5833102495776648,0.4117417023761002
