Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.13344108,0.17961824,0.9216223750000001,0.6207147639813326,0.6315582710050731,0.6259919925799318,0.45590161905091026
0.1290704,0.18080452,0.9180844374999999,0.5840950983989242,0.7332504818464513,0.6501379929503817,0.4817906225923426
0.12784097,0.16195315,0.926188,0.6855792686025066,0.5347131751656371,0.6003832792382557,0.4293917983796111
0.1280307,0.1663834,0.924525375,0.6729626190271085,0.5316806191292445,0.5937426678766023,0.42251436584577173
0.12668633,0.17848238,0.9245269375,0.6721766047706781,0.5340554828412514,0.5949932856332646,0.42391153233628853
0.12703988,0.1742517,0.9206378749999999,0.6083965620661599,0.6626066946296378,0.6342652942387021,0.4646717562322744
0.12617426,0.17200457,0.9233809374999999,0.6319938032276864,0.6284292289406153,0.6301086368398257,0.4602335950141655
0.12518625,0.16442819,0.9239319374999999,0.6718684822412002,0.5235614398610294,0.5883916040632005,0.41716017007034734
0.12578644,0.16375166,0.924677875,0.6585487347734227,0.5710743589158542,0.6115739258505883,0.4407733078604573
0.124658205,0.17188317,0.9247531875,0.6725299123951046,0.5380332897580075,0.5977452304750153,0.4266350528328484
0.12477285,0.18450308,0.9186936875,0.5892602721106914,0.7165563848119907,0.6465874951153696,0.4779492364177863
0.124395505,0.17249878,0.9254132500000001,0.6615887684963668,0.5778732603051853,0.6168040253919351,0.4462786957371479
0.1241554,0.18108861,0.91795325,0.5902973670924887,0.6861503321540349,0.6345077927476453,0.4648742934776875
0.12257388,0.16756642,0.9256044999999999,0.6575149021396542,0.5925720111440251,0.6231024273445673,0.452940102223404
0.1214236,0.17240947,0.9221628125,0.6243196110038438,0.6303995702172636,0.6273089162149683,0.45725620796672983
0.12008978,0.170531,0.925636375,0.6583895615515887,0.5914057097600544,0.6229954292393614,0.4528413876765008
0.119320594,0.17058316,0.9248305625,0.6517871137257636,0.5939757542897972,0.6213418146428181,0.45116324619266335
0.11857036,0.18587577,0.9215665625,0.6170567634953383,0.6458239622874276,0.6310336589867026,0.4612029461421754
0.11873663,0.17140768,0.9239229375,0.6342182749866669,0.6331006833016498,0.6335377795747326,0.4640297709830972
0.11804428,0.17519459,0.924023125,0.6669766463850388,0.5369908506622143,0.5948719631421215,0.4237105121843575
0.119720295,0.18785724,0.9187740625,0.5966851704718475,0.674804621416997,0.633325894938813,0.4636928584062868
0.118955255,0.1728894,0.9213055625,0.6438241073124511,0.5434079352443257,0.5893385062717489,0.41804336746731297
0.11725381,0.1817142,0.9221548125000001,0.625892963837716,0.6235927357277677,0.6246202219449015,0.4545206662311406
0.11685975,0.18121645,0.923513875,0.6508069676687889,0.5696781164168454,0.6074320308038078,0.43659765657468713
0.11803027,0.18554306,0.922555375,0.6199952750774138,0.6589214788078902,0.6387965123626343,0.46970171279823725
0.11760999,0.17538787,0.9233449375,0.62965932035359,0.6373728706326445,0.6333932849347443,0.46388624715977606
0.117506765,0.18481466,0.92188175,0.621170349010261,0.6363625363023546,0.6286120990730645,0.45866753345239
0.115412354,0.17725539,0.9242240625,0.6549183055546095,0.5730439528396225,0.6111838646477811,0.44049648106804024
0.11648908,0.17349485,0.923658875,0.6377495375108705,0.614957467808682,0.6260914381521603,0.45607532635810444
