Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.23829286,0.20687822,0.89627775,0.0,0.0,0.0,0.0
0.18844186,0.17150566,0.9231243124999999,0.6645458054119773,0.5259699281569792,0.587192383166122,0.41580867893695406
0.18274148,0.16617852,0.92355575,0.6329986318819052,0.6301918021643449,0.6315911100306165,0.4617202315250962
0.17959203,0.1638053,0.92468775,0.6377775708771547,0.6383098708318806,0.6380424006965001,0.46865311671881527
0.1770985,0.16507882,0.925972,0.6477975256576036,0.6321757240960088,0.6398614257022618,0.47057852782690235
0.17659242,0.16003306,0.9269438125,0.6801767762385507,0.5621224198382432,0.6155093874151446,0.4447286839038345
0.17686999,0.1698995,0.92374775,0.6174583095071445,0.7025917363471127,0.657216550616311,0.4895508330573851
0.17440736,0.1679819,0.9250498125,0.6241159105787488,0.7038814101004941,0.6615404623585477,0.4943798933354278
0.1764174,0.16202043,0.926693625,0.7127351639453938,0.49425983189493894,0.5837227091560102,0.4123527008600075
0.17457414,0.15919358,0.927771375,0.6990155192739226,0.5369644202780597,0.6073449703305076,0.4362860079885549
0.17247695,0.1616846,0.9280925625,0.7039431579907913,0.5330928164108202,0.6066980186282274,0.435629276793984
0.1746125,0.15661481,0.928034625,0.6624811007820209,0.6289575327299721,0.6452313852960836,0.4764034976047394
0.17220493,0.16031605,0.9256598125,0.7229646552481473,0.4618658032630808,0.5636414512021667,0.3926542443574585
0.17190433,0.15532771,0.9279745625,0.649633929165486,0.669482082246005,0.6592934361363278,0.4918705216845913
0.17189825,0.15467669,0.9290123125,0.6810572667292564,0.5984511536460275,0.6370199186373746,0.46754006245822155
0.17211731,0.16605607,0.926923375,0.6340693883116455,0.7047769377119313,0.6674835808152677,0.5010420547661623
0.17247903,0.15738826,0.9262779375000001,0.6279173521984871,0.7160109823190353,0.6690237537107957,0.5027869303130459
0.17108482,0.15308543,0.9291732500000001,0.6753869940177679,0.6149796932763236,0.6437306500887303,0.4747858921174083
0.17046233,0.16041392,0.922577,0.6020438910155334,0.7569181000523695,0.67054283281695,0.5044798215058504
0.17052856,0.15206102,0.929175875,0.7251801731020818,0.5134712487120185,0.6012292985517322,0.430091679163144
0.17009091,0.1522613,0.930524125,0.7054914998009276,0.5701434312516912,0.6306119942057957,0.46065277209828476
0.16877076,0.15196657,0.9295751875,0.6604562743930413,0.6654508537577287,0.6629088637265408,0.4959428691027429
0.16919576,0.15526989,0.928172375,0.7135541206707232,0.5161136324140437,0.5988432888991135,0.42782950187889013
0.16962203,0.15118487,0.9304128125,0.6706558563323787,0.6508539077868549,0.660585699342522,0.49335566443120005
0.16717611,0.14986306,0.9311974375000001,0.6875772071728901,0.6209090037655276,0.6525187975757195,0.4844123217570646
0.16937558,0.15213865,0.92954525,0.6562610713693348,0.677719284463155,0.6668052452018383,0.5003119337949585
0.16910277,0.14986995,0.9314226875,0.7088429552391535,0.5777887555202584,0.6366350777884404,0.4670949075396974
0.16860954,0.14918983,0.9314718125,0.6790608072764711,0.647388077710241,0.6627996807601069,0.49578229724352396
0.16708653,0.14931248,0.9314938125,0.71503421514197,0.5671912311733605,0.6325894027570322,0.462810751338902
0.16714104,0.14855804,0.9313725625,0.6627093233966235,0.6941189702696293,0.6780133108119257,0.5130598575672964
0.16623093,0.14904475,0.932397375,0.7315938044946794,0.5524656134047871,0.6295225786918148,0.4596003476739928
0.16613603,0.14644407,0.9330443749999999,0.6929270660985904,0.6401687739397024,0.6654737088041518,0.49879636226617063
0.16704029,0.15140495,0.9292254375,0.6436103686025927,0.7174473828141905,0.6784767878077849,0.5135573812077294
0.16653834,0.14687178,0.933140125,0.7195695664029518,0.585200045738374,0.6454636637218261,0.4767745405722822
0.166496,0.14734867,0.9323603125,0.7508513479991028,0.5229160658073326,0.6164846559531547,0.4458196112694336
0.16540723,0.14747426,0.932537,0.68172353346811,0.6598816121920438,0.6706078379771767,0.5046475042841425
0.16548939,0.15108275,0.9307343125,0.647997839503728,0.7337039184071401,0.68810633882941,0.5246804187818649
0.16620961,0.15152568,0.9295114375,0.6418762927156764,0.7308927016235364,0.6834462805043839,0.5192904224395065
0.16509709,0.16109793,0.9195148125,0.8069031325197358,0.2957006020429877,0.43247283147941656,0.2761709036986004
0.16543353,0.14633091,0.93332475,0.6790388036809027,0.6824310143392827,0.6806878876065203,0.5161686799939941
0.16477594,0.15049002,0.9315315,0.6651313214804349,0.6899121492384779,0.6772157799658505,0.5121146756867252
0.16626473,0.16209245,0.923922125,0.6007937073656062,0.8044720041196098,0.6877788544163859,0.5243011710754908
0.16526215,0.14680013,0.9325614375,0.6701717514927064,0.6942991859705538,0.681962521281426,0.517610128346109
0.16600029,0.14607424,0.9331959375,0.7570271691120891,0.5264876127687736,0.6210511051368819,0.45060424489709927
0.16301857,0.14696373,0.933538125,0.7389001890490878,0.5582155514381424,0.6359696914601211,0.4664243265083656
0.16363454,0.14542449,0.935129125,0.7278203735200112,0.6014975547434067,0.6586547270181949,0.4912884338034809
0.1632584,0.14469078,0.9340160625,0.7384461444663208,0.5660125772190241,0.640829921094962,0.47173992408594095
0.16477507,0.14648601,0.9338103125,0.6816322611578494,0.6838249062495052,0.6826625014078909,0.5183837049817321
0.16277263,0.14987352,0.9339680625,0.7065746420865657,0.6252075267310263,0.6633655069619623,0.4964560145436634
0.16413103,0.1489043,0.9341861874999999,0.6887297146850007,0.6716967987274216,0.680027568826497,0.5153493475741034
0.16363053,0.15076146,0.928053625,0.806854355410483,0.40444813412121,0.5385337628197824,0.36895179615506224
0.16276558,0.14593375,0.9344251875,0.7161680753563957,0.6128876955234706,0.6604838734910385,0.49326182578950695
0.16452178,0.14547472,0.9330890000000001,0.6731331739828468,0.6949005065431744,0.6837986218837988,0.519716420369156
0.16324387,0.14533061,0.9328035,0.6678461352484876,0.7067202670488604,0.6865994182312924,0.5229162103125005
0.1617036,0.14964253,0.9342306874999999,0.7412988661696513,0.5646490074937602,0.641020000639319,0.4718518083775114
0.16198342,0.14906809,0.9328288124999999,0.6640439256181117,0.7186576977484447,0.690212744232059,0.5271440912874004
0.16194858,0.14358826,0.9343848125,0.6896114909772395,0.672974613116937,0.6811110990023408,0.5165988580041467
0.16008411,0.15098625,0.9312826249999999,0.6534242856288768,0.7238106733550094,0.6867757300796845,0.5231229606117838
0.16139568,0.14667995,0.934002375,0.76549615461744,0.5266833575375496,0.6240177170312833,0.45376417483601583
0.16078809,0.146465,0.933041375,0.7642654060770017,0.5144847590384735,0.6149451024467858,0.4442415898726797
0.159672,0.14374596,0.9344075624999999,0.6884194058234957,0.6762053447455534,0.6822020005929849,0.5178655822532436
0.15933277,0.1426648,0.9349780625,0.7222275308545978,0.6093757989408413,0.6610068726740234,0.4938318724067035
0.16023597,0.14364201,0.9344305625,0.6906523293003817,0.6709399013736138,0.6806047608575595,0.5160513556513863
0.1607732,0.145021,0.933717625,0.6874739329386244,0.6661584286778187,0.6766128534746796,0.5114594392075116
0.16069762,0.15029469,0.9330133125,0.6641118930626313,0.7229426681562157,0.6921805437064592,0.5294584599479271
0.15952694,0.14536119,0.93431675,0.6841211944293687,0.6851551466455208,0.6846274452805747,0.5206721533891713
0.16011858,0.144678,0.93396875,0.6858225944324755,0.6741874614705448,0.6799515753589727,0.5152965774345662
0.159229,0.14459008,0.9348989375,0.7213793050164066,0.6096438818093058,0.6608216537960754,0.49369021204644736
0.1598287,0.14340258,0.934809625,0.6924480383477164,0.6728376633452674,0.6824450601222751,0.5181408743852103
0.1584961,0.14477411,0.9341454375,0.7106777279502681,0.6196598755993026,0.662012749186982,0.49496128540346046
0.1591645,0.14521445,0.934534125,0.7065928345853151,0.634501700509183,0.6685704857520103,0.5023071089957738
0.15924141,0.14996222,0.9326943750000001,0.6698531521293445,0.696150029039095,0.6827353708869572,0.518448564276005
0.15854284,0.14279449,0.9346149375,0.6950593900957089,0.6620274558204391,0.6781353740743411,0.513210296149814
0.15827805,0.14557025,0.9325933125,0.6658045245520803,0.7081317725658831,0.686245725031101,0.5225016896162509
0.15690969,0.147861,0.9318187499999999,0.78108460539033,0.4779605710531576,0.5928329789965292,0.4217300759443764
0.15742677,0.15064125,0.9312105625,0.6478291249096104,0.743863641447963,0.6924973184338252,0.5298439493713567
0.1568354,0.15258586,0.9285782499999999,0.6297554333670525,0.7631054250092685,0.6899726131974999,0.5268647047893213
0.15723886,0.14752233,0.9328432499999999,0.678103850195509,0.6757293454914761,0.6768830035343792,0.5117819102818123
0.15872893,0.14713386,0.933166875,0.6731895988709498,0.6952474518064862,0.6840374015677801,0.5200195294963106
0.15768655,0.14390236,0.9341476875,0.7000930636221886,0.6424641435109142,0.6700262175443112,0.5039893504642294
0.15722719,0.14987203,0.931829,0.6634294096067442,0.7003702254634986,0.6813716056210435,0.5169005218128722
0.15616617,0.14451243,0.9338798125000001,0.690386974988904,0.6613730691128183,0.6755541862951249,0.5102853231436899
0.15751,0.15110344,0.9318506875,0.6931888866862577,0.6186518937348375,0.6537820449749449,0.4857766654862745
0.15687384,0.15344605,0.9323963125000001,0.6830996353211225,0.6540257379984302,0.6682165149508554,0.5019457703124471
0.15498543,0.14624721,0.932364875,0.6654909739334102,0.7045231954893124,0.6844214381438509,0.520445151691123
0.15487093,0.14563037,0.9329835,0.7038231700675562,0.6136920567861641,0.6556736991727126,0.4879214404302371
0.1550903,0.14493197,0.9338140625,0.715623376702609,0.6031976529365024,0.6546050671490126,0.4868175210706325
0.15433243,0.14460146,0.9338645624999999,0.6988330242422417,0.6414604028795811,0.668836572432145,0.5026139204396045
0.1539355,0.1461859,0.9324735625,0.7280813678034205,0.56011713302039,0.6331259491343687,0.4633538761911964
0.1539553,0.14688914,0.9320881875,0.666342326661449,0.697029853635986,0.6812936134890247,0.5168549856284808
0.15318632,0.14799817,0.9311506875,0.6595419626896375,0.6999747361662692,0.6791118683127635,0.5142908926994989
0.15331396,0.14615843,0.9326669999999999,0.6774663535804701,0.6739394111288717,0.6756944124126263,0.5104866168105491
0.1527806,0.14790258,0.931808875,0.6892872357257478,0.6276825032247071,0.6570183819941466,0.4893988601244775
0.15164794,0.14735663,0.9319925,0.6766840328939371,0.6629062540735384,0.6697226964275532,0.5036326976300045
0.15290403,0.1519208,0.928733875,0.6401561853511022,0.721253452940405,0.6782141662373694,0.5132738809744567
0.15172336,0.14648968,0.9317124375,0.6690198118314488,0.6809404784149586,0.674908930139225,0.5095578912459073
0.15006429,0.14570138,0.933265625,0.6993748740956778,0.6289880274509317,0.6623117013995481,0.49533288531818587
0.15225434,0.14659142,0.9335198124999999,0.7111725238653979,0.6079909577382967,0.6555396868560837,0.48780022394136946
0.15145263,0.14603992,0.932903,0.6975320948333656,0.627301531236478,0.6605356957594777,0.4933298911967144
0.15209015,0.14784712,0.9318991249999999,0.6990028701486475,0.6072126115095604,0.6498371903048085,0.4814694299843918
